学科名,制御構造,分岐・条件,if,繰り返し・ループ,for,while,型・データ型,文字列・文字,構造体,ポインタ,配列,入出力,ファイル,標準,演算・演算子,変数,引数,関数,メモリ,ライブラリ
お茶の水女子大学 理学部 情報科学科,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
三重大学 工学部 総合工学科,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
九州大学 工学部 電気情報工学科,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0
九州大学 理学部 物理学科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
九州工業大学 情報工学部 情報・通信工学科,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
京都大学 工学部 情報学科,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
京都工芸繊維大学 工芸科学部 設計工学域,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
佐賀大学 理工学部 理工学科,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
信州大学 工学部 電子情報システム工学科,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
北海道大学 工学部 情報エレクトロニクス学科,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
北見工業大学 工学部 地球未来デザイン工学科,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
千葉大学 理学部 数学・情報数理学科,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
名古屋大学 情報学部 コンピュータ科学科,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
名古屋工業大学 工学部 情報工学科,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
和歌山大学 システム工学部 システム工学科,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1
埼玉大学 工学部 情報工学科,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
大分大学 理工学部 共創理工学科,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
大阪大学 基礎工学部 情報科学科,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0
大阪大学 工学部 電子情報工学科,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
宇都宮大学 工学部 基盤工学科,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
富山大学 工学部 工学科,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0
山口大学 工学部 知能情報工学科,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0
山口大学 理学部 物理・情報科学科,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0
山形大学 工学部 情報・エレクトロニクス学科,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
山梨大学 工学部 コンピュータ理工学科,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
岐阜大学 工学部 電気電子・情報工学科,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
岡山大学 工学部 情報・電気・数理データサイエンス系,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
岩手大学 理工学部 システム創成工学科,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0
島根大学 総合理工学部 知能情報デザイン学科,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1
弘前大学 理工学部 電子情報工学科,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0
徳島大学 理工学部 理工学科,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0
愛媛大学 工学部 工学科,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
東京大学 理学部 情報科学科,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
東京工業大学 工学院 情報通信系,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
東京工業大学 情報理工学院 情報工学系,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
東京工業大学 情報理工学院 数理・計算科学系,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
東京農工大学 工学部 知能情報システム工学科,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
東北大学 工学部 電気情報物理工学科,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
