学科名,講義名,カテゴリ1,カテゴリ2,カテゴリ3,全体
お茶の水女子大学 理学部 情報科学科,システムプログラミング実習,0.00,0.15,0.06,0.07
お茶の水女子大学 理学部 情報科学科,データ構造とアルゴリズム,0.47,0.00,0.00,0.16
お茶の水女子大学 理学部 情報科学科,プログラミング実習,0.00,0.45,0.00,0.16
お茶の水女子大学 理学部 情報科学科,プログラミング演習１,0.00,0.45,0.17,0.21
お茶の水女子大学 理学部 情報科学科,プログラミング演習２,0.11,0.25,0.00,0.12
お茶の水女子大学 理学部 情報科学科,マルチメディアプログラミング実習,0.00,0.20,0.22,0.14
三重大学 工学部 総合工学科,データ構造・アルゴリズム論,0.68,0.00,0.00,0.23
三重大学 工学部 総合工学科,プログラミング言語 I,0.00,0.50,0.00,0.18
三重大学 工学部 総合工学科,プログラミング言語II,0.26,0.55,0.06,0.30
三重大学 工学部 総合工学科,中級プログラミング演習,0.11,0.55,0.06,0.25
三重大学 工学部 総合工学科,初級プログラミング演習,0.05,0.25,0.06,0.12
九州大学 工学部 電気情報工学科,データ構造とアルゴリズムⅠ,0.79,0.00,0.00,0.26
九州大学 工学部 電気情報工学科,データ構造とアルゴリズムⅡ,0.84,0.00,0.00,0.28
九州大学 工学部 電気情報工学科,データ構造とアルゴリズム演習,0.79,0.00,0.00,0.26
九州大学 工学部 電気情報工学科,プログラミング演習Ⅰ,0.05,0.40,0.00,0.16
九州大学 工学部 電気情報工学科,プログラミング論,0.16,0.15,0.06,0.12
九州大学 理学部 物理学科,アルゴリズム論,0.47,0.00,0.00,0.16
九州大学 理学部 物理学科,アルゴリズム論演習,0.47,0.00,0.00,0.16
九州大学 理学部 物理学科,プログラミング技法,0.05,0.00,0.00,0.02
九州大学 理学部 物理学科,プログラミング技法演習,0.05,0.00,0.00,0.02
九州工業大学 情報工学部 情報・通信工学科,オブジェクト指向プログラミング,0.05,0.05,0.39,0.16
九州工業大学 情報工学部 情報・通信工学科,データ構造とアルゴリズム,0.53,0.20,0.00,0.25
九州工業大学 情報工学部 情報・通信工学科,プログラミング,0.11,0.45,0.00,0.19
京都大学 工学部 情報学科,アルゴリズムとデータ構造入門,0.53,0.00,0.00,0.18
京都大学 工学部 情報学科,プログラミング入門,0.11,0.25,0.06,0.14
京都大学 工学部 情報学科,プログラミング演習,0.21,0.45,0.00,0.23
京都大学 工学部 情報学科,プログラミング言語,0.11,0.15,0.33,0.19
